Method,Metric,MC Dropout (mean±CI),No Dropout (mean±CI)
percentile,precision,0.074±0.008,0.074±0.007
percentile,recall,0.035±0.004,0.035±0.003
percentile,f1,0.047±0.005,0.047±0.005
percentile,false_alarm_rate,0.052±0.000,0.052±0.000
percentile,detection_delay,97.17±0.25,N/A
roc_optimal,precision,0.130±0.013,0.133±0.015
roc_optimal,recall,0.019±0.000,0.019±0.001
roc_optimal,f1,0.033±0.001,0.034±0.001
roc_optimal,false_alarm_rate,0.015±0.002,0.015±0.003
roc_optimal,detection_delay,121.17±4.85,N/A
risk_based,precision,0.072±0.008,0.074±0.007
risk_based,recall,0.033±0.003,0.035±0.003
risk_based,f1,0.045±0.005,0.047±0.005
risk_based,false_alarm_rate,0.051±0.001,0.052±0.000
risk_based,detection_delay,97.25±0.29,N/A
